date,lottery,full_number,last_3,digit_1,digit_2,digit_3,day_of_week,day,month,lag_d1_1,lag_d2_1,lag_d3_1,lag_d1_2,lag_d2_2,lag_d3_2,lag_d1_3,lag_d2_3,lag_d3_3,lag_d1_4,lag_d2_4,lag_d3_4,lag_d1_5,lag_d2_5,lag_d3_5,delta_d1_1,delta_d2_1,delta_d3_1,delta_d1_2,delta_d2_2,delta_d3_2,delta_d1_3,delta_d2_3,delta_d3_3,roll_d1,roll_d2,roll_d3,dist_d1,dist_d2,dist_d3,is_even_d1,is_even_d2,is_even_d3
2025-10-18,Karunya,708982,982,9,8,2,5,18,10,9.0,1.0,3.0,9.0,8.0,7.0,4.0,5.0,8.0,7.0,4.0,0.0,9.0,3.0,5.0,0.0,-7.0,-4.0,5.0,3.0,-1.0,-3.0,1.0,8.0,6.4,4.1,5.2,2.5999999999999996,-3.0999999999999996,-2.2,0,0,0
2025-10-19,Samrudhi,718692,692,6,9,2,6,19,10,9.0,8.0,2.0,9.0,1.0,3.0,9.0,8.0,7.0,4.0,5.0,8.0,7.0,4.0,0.0,0.0,7.0,-1.0,0.0,-7.0,-4.0,5.0,3.0,-1.0,6.9,4.7,5.0,2.0999999999999996,3.3,-3.0,0,1,1
2025-10-20,Bhagyathara,176282,282,2,8,2,0,20,10,6.0,9.0,2.0,9.0,8.0,2.0,9.0,1.0,3.0,9.0,8.0,7.0,4.0,5.0,8.0,-3.0,1.0,0.0,0.0,7.0,-1.0,0.0,-7.0,-4.0,7.1,4.9,4.7,-1.0999999999999996,4.1,-2.7,1,0,1
2025-10-21,Sthree Sakthi,638137,137,1,3,7,1,21,10,2.0,8.0,2.0,6.0,9.0,2.0,9.0,8.0,2.0,9.0,1.0,3.0,9.0,8.0,7.0,-4.0,-1.0,0.0,-3.0,1.0,0.0,0.0,7.0,-1.0,7.1,5.5,4.1,-5.1,2.5,-2.0999999999999996,1,1,1
2025-10-22,Dhanalekshmi,966451,451,4,5,1,2,22,10,1.0,3.0,7.0,2.0,8.0,2.0,6.0,9.0,2.0,9.0,8.0,2.0,9.0,1.0,3.0,-1.0,-5.0,5.0,-4.0,-1.0,0.0,-3.0,1.0,0.0,6.5,5.2,4.1,-5.5,-2.2,2.9000000000000004,0,0,0
2025-10-23,Karunya Plus,539160,160,1,6,0,3,23,10,4.0,5.0,1.0,1.0,3.0,7.0,2.0,8.0,2.0,6.0,9.0,2.0,9.0,8.0,2.0,3.0,2.0,-6.0,-1.0,-5.0,5.0,-4.0,-1.0,0.0,6.0,5.4,3.7,-2.0,-0.40000000000000036,-2.7,1,0,0
2025-10-24,Suvarna Keralam,829220,220,2,2,0,4,24,10,1.0,6.0,0.0,4.0,5.0,1.0,1.0,3.0,7.0,2.0,8.0,2.0,6.0,9.0,2.0,-3.0,1.0,-1.0,3.0,2.0,-6.0,-1.0,-5.0,5.0,5.2,5.7,3.2,-4.2,0.2999999999999998,-3.2,0,1,1
2025-10-25,Karunya,115200,200,2,0,0,5,25,10,2.0,2.0,0.0,1.0,6.0,0.0,4.0,5.0,1.0,1.0,3.0,7.0,2.0,8.0,2.0,1.0,-4.0,0.0,-3.0,1.0,-1.0,3.0,2.0,-6.0,4.7,5.5,3.2,-2.7,-3.5,-3.2,1,1,1
2025-10-26,Samrudhi,660690,690,6,9,0,6,26,10,2.0,0.0,0.0,2.0,2.0,0.0,1.0,6.0,0.0,4.0,5.0,1.0,1.0,3.0,7.0,0.0,-2.0,0.0,1.0,-4.0,0.0,-3.0,1.0,-1.0,4.5,5.0,2.4,-2.5,-5.0,-2.4,1,1,1
2025-10-27,Bhagyathara,435969,969,9,6,9,0,27,10,6.0,9.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,6.0,0.0,4.0,5.0,1.0,4.0,9.0,0.0,0.0,-2.0,0.0,1.0,-4.0,0.0,4.2,5.1,1.7,1.7999999999999998,3.9000000000000004,-1.7,1,0,1
2025-10-28,Sthree Sakthi,295782,782,7,8,2,1,28,10,9.0,6.0,9.0,6.0,9.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,6.0,0.0,3.0,-3.0,9.0,4.0,9.0,0.0,0.0,-2.0,0.0,4.2,5.6,2.3,4.8,0.40000000000000036,6.7,0,1,0
2025-10-29,Dhanalekshmi,806613,613,6,1,3,2,29,10,7.0,8.0,2.0,9.0,6.0,9.0,6.0,9.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,-2.0,2.0,-7.0,3.0,-3.0,9.0,4.0,9.0,0.0,4.0,5.6,2.3,3.0,2.4000000000000004,-0.2999999999999998,0,1,1
2025-10-30,Karunya Plus,873206,206,2,0,6,3,30,10,6.0,1.0,3.0,7.0,8.0,2.0,9.0,6.0,9.0,6.0,9.0,0.0,2.0,0.0,0.0,-1.0,-7.0,1.0,-2.0,2.0,-7.0,3.0,-3.0,9.0,4.0,4.8,2.4,2.0,-3.8,0.6000000000000001,1,0,0
2025-10-31,Suvarna Keralam,580867,867,8,6,7,4,31,10,2.0,0.0,6.0,6.0,1.0,3.0,7.0,8.0,2.0,9.0,6.0,9.0,6.0,9.0,0.0,-4.0,-1.0,3.0,-1.0,-7.0,1.0,-2.0,2.0,-7.0,4.0,4.0,2.8,-2.0,-4.0,3.2,1,1,1
2025-11-01,Karunya,700735,735,7,3,5,5,1,11,8.0,6.0,7.0,2.0,0.0,6.0,6.0,1.0,3.0,7.0,8.0,2.0,9.0,6.0,9.0,6.0,6.0,1.0,-4.0,-1.0,3.0,-1.0,-7.0,1.0,4.7,4.3,2.8,3.3,1.7000000000000002,4.2,1,1,0
2025-11-02,Samrudhi,135239,239,2,3,9,6,2,11,7.0,3.0,5.0,8.0,6.0,7.0,2.0,0.0,6.0,6.0,1.0,3.0,7.0,8.0,2.0,-1.0,-3.0,-2.0,6.0,6.0,1.0,-4.0,-1.0,3.0,5.0,4.1,3.2,2.0,-1.0999999999999996,1.7999999999999998,0,0,0
2025-11-03,Bhagyathara,188930,930,9,3,0,0,3,11,2.0,3.0,9.0,7.0,3.0,5.0,8.0,6.0,7.0,2.0,0.0,6.0,6.0,1.0,3.0,-5.0,0.0,4.0,-1.0,-3.0,-2.0,6.0,6.0,1.0,5.1,3.8,4.1,-3.0999999999999996,-0.7999999999999998,4.9,1,0,0
2025-11-04,Sthree Sakthi,526612,612,6,1,2,1,4,11,9.0,3.0,0.0,2.0,3.0,9.0,7.0,3.0,5.0,8.0,6.0,7.0,2.0,0.0,6.0,7.0,0.0,-9.0,-5.0,0.0,4.0,-1.0,-3.0,-2.0,5.8,3.9,4.1,3.2,-0.8999999999999999,-4.1,0,0,1
2025-11-05,Dhanalekshmi,606067,067,0,6,7,2,5,11,6.0,1.0,2.0,9.0,3.0,0.0,2.0,3.0,9.0,7.0,3.0,5.0,8.0,6.0,7.0,-3.0,-2.0,2.0,7.0,0.0,-9.0,-5.0,0.0,4.0,6.2,4.0,4.3,-0.20000000000000018,-3.0,-2.3,1,0,1
2025-11-06,Karunya Plus,799772,772,7,7,2,3,6,11,0.0,6.0,7.0,6.0,1.0,2.0,9.0,3.0,0.0,2.0,3.0,9.0,7.0,3.0,5.0,-6.0,5.0,5.0,-3.0,-2.0,2.0,7.0,0.0,-9.0,5.6,3.7,5.0,-5.6,2.3,2.0,1,1,0
2025-11-07,Suvarna Keralam,134919,919,9,1,9,4,7,11,7.0,7.0,2.0,0.0,6.0,7.0,6.0,1.0,2.0,9.0,3.0,0.0,2.0,3.0,9.0,7.0,1.0,-5.0,-6.0,5.0,5.0,-3.0,-2.0,2.0,5.4,3.8,4.3,1.5999999999999996,3.2,-2.3,0,0,1
2025-11-08,Karunya,727880,880,8,8,0,5,8,11,9.0,1.0,9.0,7.0,7.0,2.0,0.0,6.0,7.0,6.0,1.0,2.0,9.0,3.0,0.0,2.0,-6.0,7.0,7.0,1.0,-5.0,-6.0,5.0,5.0,5.6,3.1,5.0,3.4000000000000004,-2.1,4.0,0,0,0
2025-11-09,Samrudhi,206740,740,7,4,0,6,9,11,8.0,8.0,0.0,9.0,1.0,9.0,7.0,7.0,2.0,0.0,6.0,7.0,6.0,1.0,2.0,-1.0,7.0,-9.0,2.0,-6.0,7.0,7.0,1.0,-5.0,5.8,3.8,4.7,2.2,4.2,-4.7,1,1,1
2025-11-10,Bhagyathara,409253,253,2,5,3,0,10,11,7.0,4.0,0.0,8.0,8.0,0.0,9.0,1.0,9.0,7.0,7.0,2.0,0.0,6.0,7.0,-1.0,-4.0,0.0,-1.0,7.0,-9.0,2.0,-6.0,7.0,6.3,4.2,4.1,0.7000000000000002,-0.20000000000000018,-4.1,0,1,1
2025-11-11,Sthree Sakthi,538938,938,9,3,8,1,11,11,2.0,5.0,3.0,7.0,4.0,0.0,8.0,8.0,0.0,9.0,1.0,9.0,7.0,7.0,2.0,-5.0,1.0,3.0,-1.0,-4.0,0.0,-1.0,7.0,-9.0,5.7,4.1,3.7,-3.7,0.9000000000000004,-0.7000000000000002,1,0,0
2025-11-12,Dhanalekshmi,139897,897,8,9,7,2,12,11,9.0,3.0,8.0,2.0,5.0,3.0,7.0,4.0,0.0,8.0,8.0,0.0,9.0,1.0,9.0,7.0,-2.0,5.0,-5.0,1.0,3.0,-1.0,-4.0,0.0,5.9,4.1,4.0,3.0999999999999996,-1.0999999999999996,4.0,0,0,1
2025-11-13,Karunya Plus,162584,584,5,8,4,3,13,11,8.0,9.0,7.0,9.0,3.0,8.0,2.0,5.0,3.0,7.0,4.0,0.0,8.0,8.0,0.0,-1.0,6.0,-1.0,7.0,-2.0,5.0,-5.0,1.0,3.0,6.5,4.7,3.8,1.5,4.3,3.2,1,0,0
2025-11-14,Suvarna Keralam,660630,630,6,3,0,4,14,11,5.0,8.0,4.0,8.0,9.0,7.0,9.0,3.0,8.0,2.0,5.0,3.0,7.0,4.0,0.0,-3.0,-1.0,-3.0,-1.0,6.0,-1.0,7.0,-2.0,5.0,6.1,5.2,4.2,-1.0999999999999996,2.8,-0.20000000000000018,0,1,1
2025-11-15,Karunya,656500,500,5,0,0,5,15,11,6.0,3.0,0.0,5.0,8.0,4.0,8.0,9.0,7.0,9.0,3.0,8.0,2.0,5.0,3.0,1.0,-5.0,-4.0,-3.0,-1.0,-3.0,-1.0,6.0,-1.0,6.1,5.4,4.0,-0.09999999999999964,-2.4000000000000004,-4.0,1,0,1
2025-11-16,Samrudhi,294829,829,8,2,9,6,16,11,5.0,0.0,0.0,6.0,3.0,0.0,5.0,8.0,4.0,8.0,9.0,7.0,9.0,3.0,8.0,-1.0,-3.0,0.0,1.0,-5.0,-4.0,-3.0,-1.0,-3.0,6.6,4.8,3.3,-1.5999999999999996,-4.8,-3.3,0,1,1
2025-11-17,Bhagyathara,276402,402,4,0,2,0,17,11,8.0,2.0,9.0,5.0,0.0,0.0,6.0,3.0,0.0,5.0,8.0,4.0,8.0,9.0,7.0,3.0,2.0,9.0,-1.0,-3.0,0.0,1.0,-5.0,-4.0,6.7,4.3,4.0,1.2999999999999998,-2.3,5.0,1,1,0
2025-11-18,Sthree Sakthi,562832,832,8,3,2,1,18,11,4.0,0.0,2.0,8.0,2.0,9.0,5.0,0.0,0.0,6.0,3.0,0.0,5.0,8.0,4.0,-4.0,-2.0,-7.0,3.0,2.0,9.0,-1.0,-3.0,0.0,6.2,4.2,3.3,-2.2,-4.2,-1.2999999999999998,1,1,1
2025-11-19,Dhanalekshmi,212503,503,5,0,3,2,19,11,8.0,3.0,2.0,4.0,0.0,2.0,8.0,2.0,9.0,5.0,0.0,0.0,6.0,3.0,0.0,4.0,3.0,0.0,-4.0,-2.0,-7.0,3.0,2.0,9.0,6.2,3.7,3.5,1.7999999999999998,-0.7000000000000002,-1.5,1,0,1
2025-11-20,Karunya Plus,531453,453,4,5,3,3,20,11,5.0,0.0,3.0,8.0,3.0,2.0,4.0,0.0,2.0,8.0,2.0,9.0,5.0,0.0,0.0,-3.0,-3.0,1.0,4.0,3.0,0.0,-4.0,-2.0,-7.0,6.0,3.3,3.8,-1.0,-3.3,-0.7999999999999998,0,1,0
2025-11-21,Suvarna Keralam,236370,370,3,7,0,4,21,11,4.0,5.0,3.0,5.0,0.0,3.0,8.0,3.0,2.0,4.0,0.0,2.0,8.0,2.0,9.0,-1.0,5.0,0.0,-3.0,-3.0,1.0,4.0,3.0,0.0,6.2,3.3,3.8,-2.2,1.7000000000000002,-0.7999999999999998,1,0,0
2025-11-22,Pooja Bumper,545542,542,5,4,2,5,22,11,3.0,7.0,0.0,4.0,5.0,3.0,5.0,0.0,3.0,8.0,3.0,2.0,4.0,0.0,2.0,-1.0,2.0,-3.0,-1.0,5.0,0.0,-3.0,-3.0,1.0,5.6,3.7,3.0,-2.5999999999999996,3.3,-3.0,0,0,1
2025-11-23,Samrudhi,258190,190,1,9,0,6,23,11,5.0,4.0,2.0,3.0,7.0,0.0,4.0,5.0,3.0,5.0,0.0,3.0,8.0,3.0,2.0,2.0,-3.0,2.0,-1.0,2.0,-3.0,-1.0,5.0,0.0,5.3,3.2,2.5,-0.2999999999999998,0.7999999999999998,-0.5,0,1,1
2025-11-24,Bhagyathara,142769,769,7,6,9,0,24,11,1.0,9.0,0.0,5.0,4.0,2.0,3.0,7.0,0.0,4.0,5.0,3.0,5.0,0.0,3.0,-4.0,5.0,-2.0,2.0,-3.0,2.0,-1.0,2.0,-3.0,4.9,3.3,2.1,-3.9000000000000004,5.7,-2.1,0,0,1
2025-11-25,Sthree Sakthi,236846,846,8,4,6,1,25,11,7.0,6.0,9.0,1.0,9.0,0.0,5.0,4.0,2.0,3.0,7.0,0.0,4.0,5.0,3.0,6.0,-3.0,9.0,-4.0,5.0,-2.0,2.0,-3.0,2.0,5.0,3.6,3.0,2.0,2.4,6.0,0,1,0
2025-11-26,Dhanalekshmi,740744,744,7,4,4,2,26,11,8.0,4.0,6.0,7.0,6.0,9.0,1.0,9.0,0.0,5.0,4.0,2.0,3.0,7.0,0.0,1.0,-2.0,-3.0,6.0,-3.0,9.0,-4.0,5.0,-2.0,5.3,4.0,3.6,2.7,0.0,2.4,1,1,1
2025-11-27,Karunya Plus,465954,954,9,5,4,3,27,11,7.0,4.0,4.0,8.0,4.0,6.0,7.0,6.0,9.0,1.0,9.0,0.0,5.0,4.0,2.0,-1.0,0.0,-2.0,1.0,-2.0,-3.0,6.0,-3.0,9.0,5.2,4.2,3.1,1.7999999999999998,-0.20000000000000018,0.8999999999999999,0,1,1
2025-11-28,Suvarna Keralam,882048,048,0,4,8,4,28,11,9.0,5.0,4.0,7.0,4.0,4.0,8.0,4.0,6.0,7.0,6.0,9.0,1.0,9.0,0.0,2.0,1.0,0.0,-1.0,0.0,-2.0,1.0,-2.0,-3.0,5.7,4.7,3.3,3.3,0.2999999999999998,0.7000000000000002,0,0,1
